element_index,x_m,y_m,z_m,power_weight,receiver_range_m,receiver_delay_s
1,-1.58046272550573,-0.335801389644241,-50,0.00531914893617021,622.60069253117,0.415067128354114
2,-1.24634979367074,-0.214194227572892,-50,0.00718581561341241,622.246543720577,0.414831029147051
3,-0.91223686183575,-0.0925870655015428,-50,0.0119123815611681,621.892396515362,0.414594931010241
4,-0.57812393000076,0.0290200965698061,-50,0.0172872340425532,621.53825091827,0.414358833945514
5,-0.24401099816577,0.150627258641155,-50,0.0207954198466961,621.184106932053,0.414122737954702
6,0.0901019336692194,0.272234420712504,-50,0.0207954198466961,620.829964559466,0.413886643039644
7,0.424214865504209,0.393841582783853,-50,0.0172872340425532,620.475823803272,0.413650549202181
8,0.758327797339199,0.515448744855202,-50,0.0119123815611681,620.12168466624,0.41341445644416
9,1.09244072917419,0.63705590692655,-50,0.00718581561341241,619.767547151147,0.413178364767432
10,1.42655366100918,0.758663068997899,-50,0.00531914893617021,619.413411260775,0.41294227417385
11,-1.55792326485325,-0.397728048833618,-49.840900974233,0.00531914893617021,622.593607843988,0.415062405229325
12,-1.22381033301826,-0.276120886762269,-49.840900974233,0.00718581561341241,622.23945500113,0.414826303334087
13,-0.889697401183269,-0.15451372469092,-49.840900974233,0.0119123815611681,621.885303759078,0.414590202506052
14,-0.555584469348279,-0.0329065626195715,-49.840900974233,0.0172872340425532,621.531154120566,0.414354102747044
15,-0.221471537513289,0.0887005994517774,-49.840900974233,0.0207954198466961,621.177006088339,0.414118004058892
16,0.1126413943217,0.210307761523126,-49.840900974233,0.0207954198466961,620.822859665144,0.413881906443429
17,0.44675432615669,0.331914923594475,-49.840900974233,0.0172872340425532,620.468714853737,0.413645809902492
18,0.78086725799168,0.453522085665824,-49.840900974233,0.0119123815611681,620.11457165688,0.41340971443792
19,1.11498018982667,0.575129247737173,-49.840900974233,0.00718581561341241,619.76043007734,0.41317362005156
20,1.44909312166166,0.696736409808522,-49.840900974233,0.00531914893617021,619.406290117892,0.412937526745261
21,-1.50350819325745,-0.54723222932107,-49.775,0.00531914893617021,622.579059052175,0.415052706034783
22,-1.16939526142246,-0.425625067249721,-49.775,0.00718581561341241,622.224897928556,0.414816598619037
23,-0.835282329587474,-0.304017905178372,-49.775,0.0119123815611681,621.870738396348,0.414580492264232
24,-0.501169397752484,-0.182410743107023,-49.775,0.0172872340425532,621.51658045827,0.41434438697218
25,-0.167056465917495,-0.0608035810356744,-49.775,0.0207954198466961,621.162424117051,0.4141082827447
26,0.167056465917495,0.0608035810356745,-49.775,0.0207954198466961,620.808269375421,0.413872179583614
27,0.501169397752484,0.182410743107023,-49.775,0.0172872340425532,620.454116236122,0.413636077490748
28,0.835282329587474,0.304017905178372,-49.775,0.0119123815611681,620.099964701898,0.413399976467932
29,1.16939526142246,0.425625067249721,-49.775,0.00718581561341241,619.7458147755,0.413163876517
