element_index,x_m,y_m,z_m,power_weight,receiver_range_m,receiver_delay_s
1,-1.55792326485325,-0.397728048833618,-50,0.00383531076271384,622.594865226136,0.415063243484091
2,-0.956519987550266,-0.17883515710519,-50,0.00781051260020303,621.957392550192,0.414638261700128
3,-0.355116710247285,0.0400577346232378,-50,0.0142425242854016,621.319925070585,0.41421328338039
4,0.246286567055696,0.258950626351666,-50,0.0142425242854016,620.682462803325,0.41378830853555
5,0.847689844358678,0.477843518080094,-50,0.00781051260020303,620.045005764488,0.413363337176325
6,1.44909312166166,0.696736409808522,-50,0.00383531076271384,619.407553970217,0.412938369313478
7,-1.58046272550573,-0.335801389644241,-50,0.00542394849654542,622.60069253117,0.415067128354114
8,-0.979059448202747,-0.116908497915813,-50,0.0110457328482931,621.963225827843,0.414642150551895
9,-0.377656170899766,0.101984393812615,-50,0.0201419710068431,621.325764333059,0.414217176222039
10,0.223747106403215,0.320877285541043,-50,0.0201419710068431,620.688308062866,0.413792205375244
11,0.825150383706197,0.539770177269471,-50,0.0110457328482931,620.050857033378,0.413367238022252
12,1.42655366100918,0.758663068997899,-50,0.00542394849654542,619.413411260775,0.41294227417385
13,-1.54198545938159,-0.441516809482655,-49.8875,0.00383531076271384,622.589855557246,0.415059903704831
14,-0.94058218207861,-0.222623917754227,-49.8875,0.00781051260020303,621.952377746621,0.414634918497747
15,-0.339178904775628,-0.00373102602579928,-49.8875,0.0142425242854016,621.314905121838,0.414209936747892
16,0.262224372527353,0.215161865702629,-49.8875,0.0142425242854016,620.677437698876,0.413784958465917
17,0.863627649830334,0.434054757431057,-49.8875,0.00781051260020303,620.039975493779,0.413359983662519
18,1.46503092713332,0.652947649159485,-49.8875,0.00383531076271384,619.402518522656,0.412935012348437
19,-1.55792326485325,-0.397728048833618,-49.840900974233,0.00542394849654542,622.593607843988,0.415062405229325
20,-0.956519987550266,-0.17883515710519,-49.840900974233,0.0110457328482931,621.956133879292,0.414637422586195
21,-0.355116710247285,0.0400577346232378,-49.840900974233,0.0201419710068431,621.3186651083,0.414212443405533
22,0.246286567055696,0.258950626351666,-49.840900974233,0.0201419710068431,620.681201547012,0.413787467698008
23,0.847689844358678,0.477843518080094,-49.840900974233,0.0110457328482931,620.043743211498,0.413362495474332
24,1.44909312166166,0.696736409808522,-49.840900974233,0.00542394849654542,619.406290117892,0.412937526745261
25,-1.50350819325745,-0.54723222932107,-49.840900974233,0.00383531076271384,622.579567981101,0.415053045320734
26,-0.902104915954472,-0.328339337592642,-49.840900974233,0.00781051260020303,621.942079625923,0.414628053083948
27,-0.300701638651491,-0.109446445864214,-49.840900974233,0.0142425242854016,621.304596435034,0.414203064290023
28,0.300701638651491,0.109446445864214,-49.840900974233,0.0142425242854016,620.667118424348,0.413778078949566
29,0.902104915954472,0.328339337592642,-49.840900974233,0.00781051260020303,620.029645609843,0.413353097073229
30,1.50350819325745,0.54723222932107,-49.840900974233,0.00383531076271384,619.392178007561,0.412928118671708
31,-1.50350819325745,-0.54723222932107,-49.775,0.00542394849654542,622.579059052175,0.415052706034783
32,-0.902104915954472,-0.328339337592642,-49.775,0.0110457328482931,621.941570175346,0.414627713450231
33,-0.300701638651491,-0.109446445864214,-49.775,0.0201419710068431,621.304086461741,0.414202724307827
34,0.300701638651491,0.109446445864214,-49.775,0.0201419710068431,620.666607927269,0.413777738618179
35,0.902104915954472,0.328339337592642,-49.775,0.0110457328482931,620.029134587904,0.413352756391936
36,1.50350819325745,0.54723222932107,-49.775,0.00542394849654542,619.391666459687,0.412927777639791
37,-1.46503092713332,-0.652947649159485,-49.8875,0.00383531076271384,622.570028729934,0.415046685819956
38,-0.863627649830334,-0.434054757431057,-49.8875,0.00781051260020303,621.932530596908,0.414621687064606
39,-0.262224372527353,-0.215161865702629,-49.8875,0.0142425242854016,621.295037608186,0.414196691738791
40,0.339178904775628,0.00373102602579929,-49.8875,0.0142425242854016,620.65754977962,0.41377169985308
41,0.94058218207861,0.222623917754227,-49.8875,0.00781051260020303,620.020067127125,0.413346711418083
42,1.54198545938159,0.441516809482655,-49.8875,0.00383531076271384,619.382589666684,0.412921726444456
43,-1.44909312166166,-0.696736409808522,-49.840900974233,0.00542394849654542,622.565568459962,0.415043712306641
44,-0.847689844358678,-0.477843518080094,-49.840900974233,0.0110457328482931,621.928065755002,0.414618710503335
45,-0.246286567055696,-0.258950626351666,-49.840900974233,0.0201419710068431,621.290568185001,0.414193712123334
46,0.355116710247285,-0.0400577346232378,-49.840900974233,0.0201419710068431,620.653075765782,0.413768717177188
47,0.956519987550266,0.17883515710519,-49.840900974233,0.0110457328482931,620.015588513231,0.413343725675487
48,1.55792326485325,0.397728048833618,-49.840900974233,0.00542394849654542,619.378106443303,0.412918737628869
49,-1.44909312166166,-0.696736409808522,-50,0.00383531076271384,622.566825898741,0.41504455059916
50,-0.847689844358678,-0.477843518080094,-50,0.00781051260020303,621.929324482707,0.414619549655138
51,-0.246286567055696,-0.258950626351666,-50,0.0142425242854016,621.291828204266,0.414194552136177
52,0.355116710247285,-0.0400577346232378,-50,0.0142425242854016,620.654337079249,0.413769558052833
53,0.956519987550266,0.17883515710519,-50,0.00781051260020303,620.016851123553,0.413344567415702
54,1.55792326485325,0.397728048833618,-50,0.00383531076271384,619.379370353138,0.412919580235425
55,-1.42655366100918,-0.758663068997899,-50,0.00542394849654542,622.561038935372,0.415040692623582
56,-0.825150383706197,-0.539770177269471,-50,0.0110457328482931,621.923531587424,0.414615687724949
57,-0.223747106403215,-0.320877285541043,-50,0.0201419710068431,621.286029364943,0.414190686243295
58,0.377656170899766,-0.101984393812615,-50,0.0201419710068431,620.648532283724,0.413765688189149
59,0.979059448202747,0.116908497915813,-50,0.0110457328482931,620.011040359624,0.413340693573083
60,1.58046272550573,0.335801389644241,-50,0.00542394849654542,619.373553608569,0.412915702405713
